Region,ServiceProvider,RouteNumbers,RouteDescription,CompanyDate,EffectiveDates,DistributionList
,,"31/33",Wollongong  -  Dapto   AND  Horsley,20-Feb-17,30-Oct-17,
,,32,Dapto              -   Brooks  Reach,20-Feb-17,30-Oct-17,
,,41,Dapto              -   University,20-Feb-17,30-Oct-17,
,,43,Dapto              -   Port  Kembla,20-Feb-17,30-Oct-17,
,,34,Wollongong  -  Warrawong,20-Feb-17,30-Oct-17,
,,65,Wollongong  -  Port  Kembla,20-Feb-17,30-Oct-17,
,,35,Wollongong  -  Unanderra,20-Oct-13,30-Oct-17,
,,36,Wollongong  -  Kembla  Heights,20-Oct-13,30-Oct-17,
,,37/57,Wollongong  Loop ,20-Oct-13,30-Oct-17,
,,51/53,Wollongong  -  Shellharbour,10-Oct-16,30-Oct-17,
,,52,Flinders          -   Shellharbour,10-Oct-16,30-Oct-17,
,,72,Shellharbour  Loop,10-Oct-16,30-Oct-17,
,,59,North  Beach  -  Regional  Airport,30-Oct-17,30-Oct-17,
,,71,Shellharbour  -  Kiama,10-Oct-16,30-Oct-17,
,,75,Shellharbour  -  Tullimbar  AND  Calderwood,10-Oct-16,30-Oct-17,
,,"76/77",Shellharbour  -  Albion  Park,10-Oct-16,30-Oct-17,
,,,Shellharbour  -  Calderwood,25-Nov-17,25-Nov-17,May-18
,,"55A/C",Free  Shuttle  Bus,,1-Jul-18,
Newcastle,Keolis Downer Newcastle,11,Newcastle   -  Charlestown  VIA    Hamilton    Waratah  AND  Jesmond     ,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,12,Merewether   Maryland         VIA   Hamilton     Waratah   Jesmond    AND  Wallsend,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,13,Newcastle   -  Glendale          VIA   Hamilton  New  Lambton   AND  Cardiff                 ,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,14,Newcastle  -   Belmont            VIA  Glebe  Kotara   Charlestown   Gateshead   AND  Jewells,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,21,Newcastle  East  -  Broadmeadow    VIA   The  Junction   Merewether  AND  Hamilton,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,22,Newcastle  I/C    -  Charlestown         VIA   Merewether   AND  Kahibah,,,
Newcastle,Keolis Downer Newcastle,25,Broadmeadow   -   Charlestown         VIA   Kotara,,,
Newcastle,Keolis Downer Newcastle,28,Newcastle  I/C    -  Lake  Macquarie  Fair   VIA   Adamstown   AND  Charlestown       ,,,
Newcastle,Keolis Downer Newcastle,23,Newcastle  I/C    Wallsend         VIA   Hamilton   Lambton   AND  Jesmond,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,24,Marketown       -  Wallsend         Via   Mayfield   Georgetown  University  AND  Jesmond,,,
Newcastle,Keolis Downer Newcastle,26,Newcastle  I/C    Wallsend         VIA   Hamilton   Kotara    Elemore  Vale,,,
Newcastle,Keolis Downer Newcastle,27,Broadmeadow    Wallsend         VIA   University   AND  Birmingham  Gardens,,,
Newcastle,Keolis Downer Newcastle,47,Marketown       -  Wallsend         Via   Mayfield   Georgetown  University  AND  Jesmond,,,
Newcastle,Keolis Downer Newcastle,29,Swansea  North     -    Glendale   VIA   Belmont  Valentine  Eleebana  Warners  Bay  &  Cardiff,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,41,Lake  Macquarie  Fair   -  Lake  Macquarie  Village   VIA  Valentine,,,
Newcastle,Keolis Downer Newcastle,43,Lake  Macquarie  Fair   -  Lake  Macquarie  Village   VIA  Tingira  Heights  AND  Floraville,,,
Newcastle,Keolis Downer Newcastle,48,Lake  Macquarie  Village -  Warners  Bay      VIA   Jeweellstown  Redhead  AND  Dudley,,,
Newcastle,Keolis Downer Newcastle,42,John  Hunter  Hospital    -  Wallsend     VIA  Elemore  Vale,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,44,Cardiff                  -  Charlestown               VIA   Macquarie  Hills,,,
Newcastle,Keolis Downer Newcastle,46,Warners  Bay     -  Wallsend                      VIA  Speers  Point   AND   Glendale,,,
Newcastle,Keolis Downer Newcastle,59,On  Demand,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,110,Newcastle  -  Wickham  Station  Loop,14-Jan-18,14-Jan-18,
Newcastle,Keolis Downer Newcastle,Ferry,Newcastle   -  Stockton,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Keolis Downer Newcastle,,Newcastle  Network  Guide,29-Jul-18,29-Jul-18,Aug-18
Newcastle,Port Stephens Coaches,100,Pt  Stephens -Sydney,NO  DATE,1-Jan-17,
Newcastle,Port Stephens Coaches,130,Fingal  Bay    -  Newcastle    VIA   Gan  Gan   Road,30-Jan-18,30-Jan-18,
Newcastle,Port Stephens Coaches,131,Fingal  Bay    -  Newcastle    Express,30-Jan-18,30-Jan-18,
Newcastle,Port Stephens Coaches,132,Fingal  Bay    -   Soldiers    Point,30-Jan-18,30-Jan-18,
Newcastle,Port Stephens Coaches,133,Fingal  Bay   -    Soldiers    Point,30-Jan-18,30-Jan-18,
Newcastle,Port Stephens Coaches,134,Anna    Bay  -     Soldiers    point,30-Jan-18,30-Jan-18,
Newcastle,Rover Coaches,135,Nelson Bay   -  Raymond  Terrace,30-Jan-18,30-Jan-18,
Newcastle,Rover Coaches,160,Cessnock     -  Newcastle,15-Jan-18,15-Jan-18,Mar-18
Newcastle,Rover Coaches,163,Cessnock     -  Morriset,15-Jan-18,15-Jan-18,
Newcastle,Rover Coaches,161,Cessnock    -   Cessnock   Hospital      Hopper,14-Jan-18,14-Jan-18,Mar-18
Newcastle,Rover Coaches,162,Cessnock    -   Abernathy,14-Jan-18,14-Jan-18,
Newcastle,Rover Coaches,165,Cessnock   -    Cessnock   West    Hopper,14-Jan-18,14-Jan-18,
Newcastle,Rover Coaches,167,Cessnock    -   Nulkaba,14-Jan-18,14-Jan-18,
Newcastle,Rover Coaches,168,Cessnock    -   Bellfield    AND   Millfield,14-Jan-18,14-Jan-18,
Newcastle,Rover Coaches,164,Cessnock    -   Maitland   AND    Greenhills   SC,14-Jan-18,14-Jan-18,Mar-18
Newcastle,Rover Coaches,166,Kurri Kurri  -   Maitland   And     Greenhills   SC,14-Jan-18,14-Jan-18,
Newcastle,Rover Coaches,171,Kurri Kurri  -   Weston   ,14-Jan-18,14-Jan-18,
Newcastle,Rover Coaches,172,Kurri  Kurri  -  Deakin   Street,14-Jan-18,14-Jan-18,
Newcastle,CDC Hunter,136,Raymond  Terrace   -  Stockton,,29-Jan-18,
Newcastle,CDC Hunter,137,Raymond  Terrace   -  Lemon  Tree  Passage,,29-Jan-18,
Newcastle,CDC Hunter,138,Newcastle                  -  Lemon  Tree  Passage,,29-Jan-18,
Newcastle,CDC Hunter,140,Newcastle                  Raymond  Terrace,,29-Jan-18,
Newcastle,CDC Hunter,141,Raymond  Terrace   Town  Service,,29-Jan-18,
Newcastle,CDC Hunter,145,Green  Hills   SC   -  Newcastle  Airport         ,,29-Jan-18,
Newcastle,CDC Hunter,177,Rutherford    -   Aberglasslyn,,29-Jan-18,
Newcastle,CDC Hunter,178,Rutherford    -   Anambah,,29-Jan-18,
Newcastle,CDC Hunter,181,Rutherford    -   Woodberry,,29-Jan-18,
Newcastle,CDC Hunter,186,Rutherford   -     Mckeachies     Run,,29-Jan-18,
Newcastle,CDC Hunter,179,Singleton  Hgts   -  Greenhills   SC    East  Maitland   ,,29-Jan-18,
Newcastle,CDC Hunter,180,North  Rothbury -  Greenhills   Sc     East  Maitland,,29-Jan-18,
Newcastle,CDC Hunter,"180X",Singleton   -   Maitland,,29-Jan-18,
Newcastle,CDC Hunter,401,Singleton    -  Town  Service,,29-Jan-18,
Newcastle,CDC Hunter,402,Singleton    -  Singleton   Heights,,29-Jan-18,
Newcastle,CDC Hunter,403,Singleton   -   Singleton   Heights,,29-Jan-18,
Newcastle,CDC Hunter,404,Singleton    -  Singleton   Heights,,29-Jan-18,
Newcastle,CDC Hunter,182,Thornton    -   Rutherford     ,,29-Jan-18,
Newcastle,CDC Hunter,183,Tenanbit    -    Rutherford,,29-Jan-18,
Newcastle,CDC Hunter,189,Thornton    -   Greenhills  SC,,29-Jan-18,
Newcastle,CDC Hunter,184,Green  Hills  SC  -  Morpeth,,29-Jan-18,
Newcastle,CDC Hunter,185,Maitland              -   Largs,,29-Jan-18,
Newcastle,CDC Hunter,187,East  Maitland   -   Metford,,29-Jan-18,
Newcastle,CDC Hunter,192,Maitland              -   East  Maitland,,29-Jan-18,
Newcastle,CDC Hunter,,Maitland    Transport   Guide,,10-Sep-17,
Newcastle,CDC Wallsend,260,Minmi          -  Stockland   Jesmond,,29-Jul-18,
Newcastle,CDC Wallsend,261,Fletcher      -  Stockland   Jesmond,,29-Jul-18,
Newcastle,CDC Wallsend,"262/3",Cameron  Park   -  Charlestown,,29-Jul-18,
Newcastle,CDC Wallsend,267,Seahampton      -   Newcastle   University,,29-Jul-18,
Newcastle,CDC Wallsend,268,Seahampton      -   Stockland     Glendale,,29-Jul-18,
Newcastle,CDC Wallsend,269,Toronto                -  Charlestown,,29-Jul-18,
Newcastle,CDC Wallsend,270,Toronto    West  -  Newcastle  University       ,,29-Jan-18,
Newcastle,CDC Wallsend,271,Toronto                -  Glendale,,29-Jan-18,
Newcastle,CDC Wallsend,273,Toronto                -   Fassifern,,29-Jan-18,
Newcastle,CDC Wallsend,274,Toronto               -    Kilaben  Bay  -  Coal  Point   -  Carey  Bay  ,,29-Jan-18,
